CompletionTime,SpatialError,D,K,Amplitude,Gap
1489.797,3.827231,61.06059551,51.02903843,64.18901682,12.57414669
1600,10,76.77807212,2.97013931,2.83772666,62.7263248
1424.658,4.262654,39.19960558,47.37125635,86.9549036,1.557205524
1600,10,84.30724144,75.09637475,15.19464701,42.73746908
1600,10,90.25378227,68.92562509,79.51469421,78.30203772
1600,10,47.38317248,37.2268014,74.33786426,0
1436.973,4.3435,43.61222923,66.40141765,88.31820581,10.73458801
1365.694,4.233539,33.96885858,61.75903589,98.19501507,9.789094837
1391.343,4.338077,42.55801748,55.7265439,86.89190596,7.779145388
1385.177,5.262423,26.84445018,56.41799392,100,0.832623131
1209.802,1.926308,36.11743512,53.36619583,100,21.05708443
1323.109,3.582885,32.2583755,50.32421815,100,30.37106476
1306.211,2.133923,52.00536914,52.64776085,100,21.35095262
1504.668,5.542077,31.06028015,50.04055707,100,17.36985247
1202.599,2.377346,51.79976294,56.8027873,100,31.37324299
1337.481,2.011808,54.85574047,53.16338797,100,37.7384543
1245.177,4.554923,47.5361598,54.95321445,90.11102813,35.66636103
1600,10,64.34793332,55.02007954,100,19.9389937
1303.617,2.657308,38.81685292,57.6485925,100,38.92901527
1256.973,3.256538,39.4546284,48.25236279,100,20.17414516
1211.325,2.070769,35.99532391,51.42887711,96.6185932,38.10414885
1272.4,3.021961,36.09734604,64.8413091,100,35.65729114
1417.555,2.143423,52.91128379,41.90923213,100,42.41520999
1321.605,1.579039,54.06793918,54.24992417,92.71728841,34.86237313
1254.423,3.074808,54.67853155,47.88069162,90.83653049,29.09460259
1203.137,3.762654,43.29884174,53.73726797,98.34496691,28.7714864
1252.361,4.185346,43.44311228,53.34810507,97.02768645,28.81787969
1211.815,2.963577,53.9650219,72.70282834,88.97490167,34.17553591
1355.439,5.920731,46.83015306,74.13123429,98.17812975,30.18320566
1175.978,3.437461,37.94822409,57.14106845,81.72223223,33.73055663
1494.388,2.530269,56.1263568,66.3052014,66.65507854,38.78375472
1367.705,2.624615,53.7593157,56.51248301,92.11541512,48.80492942
1308.764,3.345538,35.94491707,40.51994213,100,47.18940627
1342.663,3.786654,39.34688898,50.21833802,85.61304986,33.17953475
1376.498,3.535,55.36308355,63.66463702,84.3282202,22.13240749
1469.791,5.721231,59.22613298,77.47632331,53.55092645,30.14307419
1297.46,3.165115,57.33140853,50.56109653,66.99723403,49.9634055
1328.786,4.265346,32.07688443,58.24813374,78.86797314,55.76697824
1370.831,2.686692,53.53839293,67.73377543,66.64768379,63.1437904
1343.071,5.170308,56.51483753,68.82904923,77.31081262,63.12356085
